Lake,Species,Code,Group,Class,Depth,d13C,d15N,%C,%N,C/N
Vuontis,Hydracarina,Hydracarina,BMI,Litt,5,-26.9,5.1,39,8.3,6.2
Vuontis,pike,07VP10,Pisc,Fish,NA,-25.8,9.7,47.7,9.3,3.4
Vuontis,pike,07VP11,Pisc,Fish,NA,-25.6,9.7,47.9,13.8,3.5
Vuontis,pike,07VP12,Pisc,Fish,NA,-25.2,9.3,46.8,13.7,3.4
Vuontis,pike,07VP13,Pisc,Fish,NA,-24.9,8.7,41.7,12.1,3.4
Vuontis,pike,07VP14,Pisc,Fish,NA,-25.7,9.3,46.7,13.2,3.5
Vuontis,pike,07VP15,Pisc,Fish,NA,-25.1,8.3,47,13.4,3.5
Vuontis,pike,07VP16,Pisc,Fish,NA,-24.6,8.9,48.6,13.7,3.6
Vuontis,pike,07VP17,Pisc,Fish,NA,-24.2,9.2,47.5,13.6,3.5
Vuontis,pike,07VP18,Pisc,Fish,NA,-25,8,46.6,13.4,3.5
Vuontis,pike,07VP19,Pisc,Fish,NA,-24.3,9.2,47.6,13.7,3.5
Vuontis,pike,07VP20,Pisc,Fish,NA,-25.8,9.6,47.9,13.8,3.5
Vuontis,pike,07VP21,Pisc,Fish,NA,-24.6,9.3,46.9,13.3,3.5
Vuontis,pike,07VP22,Pisc,Fish,NA,-25.8,9.2,47.1,13.3,3.6
Vuontis,pike,07VP23,Pisc,Fish,NA,-25.8,8.9,46.5,13.3,3.5
Vuontis,pike,07VP24,Pisc,Fish,NA,-24.9,9.1,46.5,13.5,3.5
Vuontis,pike,07VP25,Pisc,Fish,NA,-25.7,9.2,46.8,13.5,3.5
Vuontis,pike,07VP26,Pisc,Fish,NA,-25.3,9.2,48.7,13.8,3.5
Vuontis,pike,07VP27,Pisc,Fish,NA,-25.6,9.3,47.3,13.4,3.5
Vuontis,pike,VP1,Pisc,Fish,NA,-26.1,9.7,45.4,13.2,3.4
Vuontis,9spstickleback,V901,Con,Fish,NA,-28,6.3,49.3,8.3,6
Vuontis,9spstickleback,V902,Con,Fish,NA,-22.6,5.7,43.5,9.8,4.4
Vuontis,9spstickleback,V903,Con,Fish,NA,-22.5,5.7,42.9,9.9,4.3
Vuontis,9spstickleback,V904,Con,Fish,NA,-28.1,6.9,46.6,9.9,4.7
Vuontis,9spstickleback,V905,Con,Fish,NA,-22.6,6.4,48,10.3,4.7
Vuontis,lsr,VB1,Con,Fish,NA,-27.7,7.5,47.6,14.7,3.2
Vuontis,lsr,VB2,Con,Fish,NA,-27.2,8,47.9,14.4,3.3
Vuontis,lsr,VB3,Con,Fish,NA,-27,7,47.6,14.2,3.4
Vuontis,lsr,VB4,Con,Fish,NA,-28.8,8,47.6,13.7,3.5
Vuontis,lsr,VB5,Con,Fish,NA,-26.4,7.2,47.6,14.4,3.3
Vuontis,lsr,VB6,Con,Fish,NA,-23,7.7,47.7,13.7,3.5
Vuontis,lsr,VB7,Con,Fish,NA,-25.3,7.8,47.6,14.2,3.4
Vuontis,lsr,VB8,Con,Fish,NA,-26.6,7.5,47.2,14,3.4
Vuontis,lsr,VB9,Con,Fish,NA,-27.3,7.6,47.2,14.1,3.4
Vuontis,lsr,VL1,Con,Fish,NA,-25,7.4,46.8,13.8,3.4
Vuontis,lsr,VL10,Con,Fish,NA,-23.9,5.7,47.1,13.6,3.5
Vuontis,lsr,VL10,Con,Fish,NA,-27.3,7.2,48,14.7,3.3
Vuontis,lsr,VL11,Con,Fish,NA,-23.9,6.5,46.4,13.5,3.4
Vuontis,lsr,VL11,Con,Fish,NA,-26.8,7.5,46.5,14.4,3.2
Vuontis,lsr,VL12,Con,Fish,NA,-22.5,5.9,48.5,13,3.7
Vuontis,lsr,VL12,Con,Fish,NA,-28.1,8.1,47,14.2,3.3
Vuontis,lsr,VL13,Con,Fish,NA,-26.8,7,46.6,14,3.3
Vuontis,lsr,VL13,Con,Fish,NA,-27.5,6.8,46.6,13.7,3.4
Vuontis,lsr,VL14,Con,Fish,NA,-27.8,7.2,46.4,13.5,3.4
Vuontis,lsr,VL14,Con,Fish,NA,-27.8,8.1,47.6,14.5,3.3
Vuontis,lsr,VL15,Con,Fish,NA,-28,6.8,46.2,13.6,3.4
Vuontis,lsr,VL15,Con,Fish,NA,-28.1,7.1,48,14.3,3.4
Vuontis,lsr,VL16,Con,Fish,NA,-28.1,7.1,47.9,14.1,3.4
Vuontis,lsr,VL16,Con,Fish,NA,-27.8,6.9,47.4,15,3.2
Vuontis,lsr,VL17,Con,Fish,NA,-26.9,6.7,47.4,13.9,3.4
Vuontis,lsr,VL17,Con,Fish,NA,-27.8,7.8,31.8,9.9,3.2
Vuontis,lsr,VL18,Con,Fish,NA,-26.6,6.2,47.3,13.9,3.4
Vuontis,lsr,VL18,Con,Fish,NA,-28.1,7.4,47.1,14.9,3.2
Vuontis,lsr,VL19,Con,Fish,NA,-25.2,7.3,47.9,15,3.2
Vuontis,lsr,VL19,Con,Fish,NA,-26.5,6.8,47.2,13.8,3.4
Vuontis,lsr,VL2,Con,Fish,NA,-28.2,9,47.2,13.8,3.4
Vuontis,lsr,VL20,Con,Fish,NA,-26.7,8.5,49.6,14.5,3.4
Vuontis,lsr,VL20,Con,Fish,NA,-26.8,6.5,47.5,13.9,3.4
Vuontis,lsr,VL21,Con,Fish,NA,-26,8,48.8,14,3.5
Vuontis,lsr,VL21,Con,Fish,NA,-27.8,7.4,42.6,12.8,3.3
Vuontis,lsr,VL22,Con,Fish,NA,-28,7.5,46,13.8,3.3
Vuontis,lsr,VL22,Con,Fish,NA,-28.4,7.1,45.9,14.2,3.2
Vuontis,lsr,VL23,Con,Fish,NA,-26.9,8.3,47.6,13.9,3.4
Vuontis,lsr,VL23,Con,Fish,NA,-26.9,7.1,47.2,15.1,3.1
Vuontis,lsr,VL24,Con,Fish,NA,-23.8,7.2,44.4,13.8,3.2
Vuontis,lsr,VL24,Con,Fish,NA,-30.5,8.9,46.3,14.1,3.3
Vuontis,lsr,VL25,Con,Fish,NA,-25.8,7.1,46.4,14.8,3.1
Vuontis,lsr,VL25,Con,Fish,NA,-28.6,7.9,47.6,14.3,3.3
Vuontis,lsr,VL26,Con,Fish,NA,-26.8,7.5,47.7,14.1,3.4
Vuontis,lsr,VL26,Con,Fish,NA,-27.2,7.3,47.5,15,3.2
Vuontis,lsr,VL27,Con,Fish,NA,-25.3,8.7,47.5,14.2,3.3
Vuontis,lsr,VL27,Con,Fish,NA,-27.7,7.2,46.3,14.6,3.2
Vuontis,lsr,VL28,Con,Fish,NA,-24,7.9,48.6,14.2,3.4
Vuontis,lsr,VL28,Con,Fish,NA,-25.8,6.9,32.3,10.3,3.1
Vuontis,lsr,VL29,Con,Fish,NA,-24.4,7.4,47.8,14.2,3.4
Vuontis,lsr,VL29,Con,Fish,NA,-26.7,8.7,46.9,14.8,3.2
Vuontis,lsr,VL3,Con,Fish,NA,-26.1,4.5,43.7,12.7,3.4
Vuontis,lsr,VL30,Con,Fish,NA,-24.9,7.9,47.6,15,3.2
Vuontis,lsr,VL30,Con,Fish,NA,-26.7,9.1,46.7,13.7,3.4
Vuontis,lsr,VL31,Con,Fish,NA,-25.5,7.6,48.1,13.7,3.5
Vuontis,lsr,VL32,Con,Fish,NA,-23.8,8.3,47.1,14.2,3.3
Vuontis,Oligochaeta,Oligochaete,BMI,Litt,1,-15.7,3.5,46.8,8.7,4.9
Vuontis,Oligochaeta,Oligochaete,BMI,Litt,2,-16.5,2.6,47,8.4,4.8
Vuontis,Oligochaeta,Oligochaete,BMI,Litt,3,-17.4,3.7,47.6,8.9,4.7
Vuontis,Oligochaeta,Oligochaete,BMI,Litt,5,-25.4,4.2,45.1,10,5
Vuontis,Oligochaeta,Oligochaete,BMI,Prof,10,-28.2,5.6,46.3,9.6,4.5
Vuontis,Oligochaeta,Oligochaete,BMI,Prof,15,-31.3,1.7,45.9,8.7,7.3
Vuontis,Oligochaeta,Oligochaete,BMI,Prof,20,-31.6,6.2,47.1,10.4,4.3
Vuontis,Oligochaeta,Oligochaete,BMI,Prof,30,-32.9,2.9,43.9,9.7,5.8
Vuontis,lsr,VL33,Con,Fish,NA,-25.7,8.3,54.6,9.7,3.3
Vuontis,lsr,VL34,Con,Fish,NA,-25,7.1,54.7,9.8,3.4
Vuontis,lsr,VL35,Con,Fish,NA,-28.6,8.5,48.1,9.4,3.4
Vuontis,lsr,VL36,Con,Fish,NA,-26.3,8.1,49.5,8.7,3.3
Vuontis,lsr,VL37,Con,Fish,NA,-27.6,8.8,50.7,10.1,3.3
Vuontis,lsr,VL38,Con,Fish,NA,-26,8.5,46.8,11.3,3.3
Vuontis,lsr,VL39,Con,Fish,NA,-22.3,8,53.5,9.4,3.4
Vuontis,lsr,VL4,Con,Fish,NA,-29.5,7.8,44.3,9.9,3.5
Vuontis,lsr,VL40,Con,Fish,NA,-23.5,8,46.6,10.7,3.3
Vuontis,lsr,VL41,Con,Fish,NA,-29.1,7.4,46.9,10.8,4.2
Vuontis,lsr,VL42,Con,Fish,NA,-20.2,7.4,47.2,10.7,3.7
Vuontis,lsr,VL43,Con,Fish,NA,-24.4,6.4,46.2,10.6,3.5
Vuontis,lsr,VL44,Con,Fish,NA,-22.3,6.6,39,8.3,3.3
Vuontis,lsr,VL45,Con,Fish,NA,-28,6.9,47.7,9.3,3.4
Vuontis,lsr,VL46,Con,Fish,NA,-27.8,6.9,47.3,14.2,3.3
Vuontis,lsr,VL47,Con,Fish,NA,-27.7,6.8,47.4,14.1,3.4
Vuontis,lsr,VL48,Con,Fish,NA,-28.3,7.6,47.5,14.2,3.3
Vuontis,lsr,VL49,Con,Fish,NA,-27.6,7.1,47.6,14.5,3.3
Vuontis,lsr,VL5,Con,Fish,NA,-19.4,6.7,47.9,13.4,3.6
Vuontis,lsr,VL50,Con,Fish,NA,-27.5,7.2,47.4,14.1,3.4
Vuontis,lsr,VL6,Con,Fish,NA,-20.5,7.5,47.2,13.5,3.5
Vuontis,lsr,VL7,Con,Fish,NA,-26.5,7.3,46.6,13.7,3.4
Vuontis,lsr,VL8,Con,Fish,NA,-22.3,6.7,47.9,13.5,3.6
Vuontis,lsr,VL9,Con,Fish,NA,-25.4,8.3,47.5,14,3.4
Vuontis,perch,VPE35,Con,Fish,NA,-22.8,7.8,,,3.8
Vuontis,perch,VPE36,Con,Fish,NA,-24.9,8.3,,,4.2
Vuontis,perch,VPE37,Con,Fish,NA,-21.4,8.2,,,4.2
Vuontis,perch,VPE38,Con,Fish,NA,-25.5,8,,,4.3
Vuontis,perch,VPE39,Con,Fish,NA,-25.8,8.6,,,3.9
Vuontis,perch,VPE40,Con,Fish,NA,-22.4,7.5,,,3.9
Vuontis,perch,VPE41,Con,Fish,NA,-25.1,8.9,,,4.1
Vuontis,perch,VPE42,Con,Fish,NA,-22.6,8.5,,,3.6
Vuontis,perch,VPE43,Con,Fish,NA,-20.7,8.4,,,3.6
Vuontis,perch,VPE44,Con,Fish,NA,-23.6,8.6,,,3.9
Vuontis,perch,VPE45,Con,Fish,NA,-25.4,8.2,,,3.9
Vuontis,perch,VPE1,Con,Fish,NA,-22.6,6.3,45.9,13,3.5
Vuontis,perch,VPE2,Con,Fish,NA,-22.7,6.9,45.8,13,3.5
